FIPS,County,State,Civilian NonInst Pop,Percent Any Difficulty,Percent TwoTypes,Percent Hearing difficulty, Percent Vision difficulty,Percent Cognitive difficulty,Percent Ambulatory difficulty, Percent Selfcare difficulty,Percent Independent living difficulty,R_Hearing Difficulty,R_Vision difficulty,R_Cognitive difficulty,R_Ambulatory difficulty,R_Selfcare difficulty,R_Independent living difficulty,R_Overall disability
1099,Monroe County, Alabama,21033,14.59,8.61,3.03,3.14,4.58,9.35,4.43,6.99,0.09,0.63,0.31,0.67,0.90,0.83,0.41
1101,Montgomery County, Alabama,221812,16.03,7.67,3.34,2.82,6.40,9.06,3.20,5.46,0.14,0.53,0.69,0.63,0.65,0.59,0.56
1103,Morgan County, Alabama,117389,16.61,7.79,4.92,3.14,6.03,9.04,3.17,5.77,0.51,0.63,0.63,0.63,0.65,0.65,0.60
1105,Perry County, Alabama,9135,22.07,15.60,5.51,6.31,10.06,16.75,7.82,11.69,0.65,0.96,0.97,0.99,1.00,0.99,0.90
1107,Pickens County, Alabama,18561,25.09,12.82,7.51,6.98,9.75,13.82,3.45,8.04,0.91,0.98,0.96,0.95,0.73,0.92,0.97
1109,Pike County, Alabama,33132,16.04,7.18,3.31,3.08,6.55,8.72,3.34,5.81,0.14,0.61,0.71,0.60,0.70,0.66,0.56
1111,Randolph County, Alabama,22393,17.36,7.67,5.32,3.63,4.72,10.41,3.58,5.29,0.60,0.74,0.34,0.77,0.76,0.55,0.66
1113,Russell County, Alabama,56218,19.02,10.48,5.00,4.96,7.84,10.03,3.73,7.70,0.53,0.90,0.87,0.74,0.79,0.90,0.77
1115,St. Clair County, Alabama,85980,16.76,8.59,4.88,4.04,6.47,9.77,2.81,6.13,0.50,0.81,0.70,0.72,0.53,0.71,0.61
1117,Shelby County, Alabama,211801,11.26,5.13,3.38,2.04,4.18,5.57,2.09,3.87,0.15,0.24,0.23,0.16,0.24,0.23,0.13
1119,Sumter County, Alabama,12666,22.97,12.73,5.46,5.39,9.21,15.00,4.78,9.49,0.64,0.93,0.95,0.97,0.93,0.97,0.93
1121,Talladega County, Alabama,77376,20.70,9.93,4.79,4.02,7.68,12.13,3.33,7.13,0.48,0.81,0.86,0.89,0.70,0.85,0.86
1123,Tallapoosa County, Alabama,40016,19.79,10.91,5.03,3.75,7.49,12.55,4.46,7.42,0.54,0.77,0.84,0.91,0.90,0.87,0.82
1125,Tuscaloosa County, Alabama,205775,12.60,5.90,2.91,1.98,5.32,6.79,2.32,4.61,0.07,0.23,0.49,0.32,0.33,0.41,0.23
1127,Walker County, Alabama,63390,24.81,13.14,6.66,6.15,9.15,14.34,4.99,9.17,0.82,0.96,0.94,0.96,0.94,0.96,0.96
1129,Washington County, Alabama,16418,22.21,13.34,7.50,4.96,7.20,13.17,6.24,9.34,0.90,0.90,0.80,0.93,0.99,0.97,0.91
1131,Wilcox County, Alabama,10413,19.22,11.98,3.52,3.56,8.84,12.07,5.25,10.46,0.17,0.73,0.93,0.89,0.96,0.99,0.78
1133,Winston County, Alabama,23451,24.23,13.04,7.07,4.72,11.32,12.92,4.78,8.26,0.87,0.88,0.99,0.92,0.93,0.93,0.95
2013,Aleutians East Borough, Alaska,3380,9.26,3.52,4.70,2.57,1.92,4.08,1.66,2.07,0.46,0.45,0.01,0.04,0.11,0.02,0.04
2016,Aleutians West Census Area, Alaska,5473,8.09,3.12,4.09,2.41,2.25,3.58,0.40,1.46,0.30,0.39,0.02,0.02,0.00,0.01,0.02
2020,Anchorage Municipality, Alaska,282365,11.39,4.96,3.83,2.04,4.61,5.05,2.16,3.55,0.24,0.24,0.32,0.11,0.26,0.17,0.14
2050,Bethel Census Area, Alaska,17878,10.97,4.80,6.83,2.56,2.90,3.94,1.14,2.05,0.84,0.45,0.05,0.03,0.03,0.02,0.12
2060,Bristol Bay Borough, Alaska,860,13.14,5.58,6.28,2.79,2.79,6.63,0.58,1.16,0.77,0.52,0.05,0.29,0.00,0.00,0.27
2068,Denali Borough, Alaska,2188,14.95,4.57,7.36,1.78,3.29,6.72,0.78,2.93,0.89,0.15,0.09,0.31,0.01,0.07,0.45
2070,Dillingham Census Area, Alaska,4942,12.61,5.02,7.91,2.67,2.99,5.20,1.13,1.70,0.92,0.48,0.06,0.12,0.03,0.01,0.23
2090,Fairbanks North Star Borough, Alaska,91918,11.64,4.21,4.63,1.86,3.73,5.12,1.32,2.84,0.44,0.18,0.15,0.11,0.05,0.07,0.16
2100,Haines Borough, Alaska,2513,11.90,3.82,6.17,3.02,3.74,4.02,0.76,0.96,0.75,0.59,0.15,0.04,0.01,0.00,0.18
2105,Hoonah-Angoon Census Area, Alaska,2136,16.01,7.07,9.36,4.31,4.03,6.88,1.59,2.90,0.97,0.84,0.20,0.33,0.10,0.07,0.55
2110,Juneau City and Borough, Alaska,31496,11.36,4.78,3.54,2.56,4.03,4.96,1.83,3.63,0.18,0.45,0.20,0.10,0.16,0.18,0.14
2122,Kenai Peninsula Borough, Alaska,57367,14.80,6.91,6.19,2.85,4.89,7.45,2.97,4.81,0.76,0.53,0.38,0.42,0.58,0.45,0.43
2130,Ketchikan Gateway Borough, Alaska,13495,14.89,6.91,5.90,3.01,5.38,7.63,2.77,3.72,0.71,0.59,0.50,0.45,0.51,0.20,0.44
2150,Kodiak Island Borough, Alaska,12812,10.39,3.31,3.15,1.87,3.60,3.45,1.19,2.88,0.11,0.18,0.13,0.02,0.04,0.07,0.09
2158,Kusilvak Census Area, Alaska,8236,11.64,4.95,7.03,3.10,2.96,4.52,0.75,1.92,0.86,0.62,0.06,0.06,0.01,0.02,0.16
2164,Lake and Peninsula Borough, Alaska,1393,13.93,5.89,6.89,2.30,3.37,8.04,1.72,3.73,0.85,0.34,0.10,0.50,0.13,0.20,0.35
2170,Matanuska-Susitna Borough, Alaska,103269,13.25,6.22,4.41,3.05,5.19,6.18,2.75,4.52,0.38,0.60,0.45,0.23,0.50,0.38,0.28
2180,Nome Census Area, Alaska,9761,9.71,3.10,5.93,2.40,1.50,3.18,0.72,1.23,0.72,0.38,0.01,0.01,0.01,0.00,0.05
2185,North Slope Borough, Alaska,9732,10.27,3.68,5.72,2.32,2.24,3.83,0.58,1.84,0.68,0.35,0.02,0.03,0.00,0.01,0.08
2188,Northwest Arctic Borough, Alaska,7694,9.38,3.30,4.59,2.57,1.95,3.93,0.65,1.61,0.43,0.45,0.01,0.03,0.01,0.01,0.04
2195,Petersburg Borough, Alaska,3247,19.03,9.64,11.30,2.03,3.76,9.79,2.99,5.97,0.99,0.24,0.16,0.72,0.59,0.69,0.77
2198,Prince of Wales-Hyder Census Area, Alaska,6407,21.66,8.55,10.25,4.81,5.76,10.96,2.14,4.04,0.98,0.89,0.57,0.82,0.26,0.26,0.89
2220,Sitka City and Borough, Alaska,8396,12.35,5.26,5.90,3.17,3.53,5.87,1.72,3.60,0.71,0.64,0.12,0.19,0.12,0.18,0.21
2230,Skagway Municipality, Alaska,1107,12.47,4.07,6.32,2.62,3.34,4.34,1.63,3.16,0.77,0.47,0.10,0.05,0.10,0.10,0.22
2240,Southeast Fairbanks Census Area, Alaska,6780,17.85,7.63,8.20,4.14,7.23,8.14,2.73,4.07,0.94,0.82,0.81,0.52,0.49,0.27,0.70
2261,Valdez-Cordova Census Area, Alaska,9034,10.28,4.54,6.11,1.98,3.61,3.32,1.76,2.65,0.74,0.23,0.13,0.01,0.14,0.05,0.08
2275,Wrangell City and Borough, Alaska,2482,17.73,9.55,6.73,4.19,7.53,10.64,5.88,6.20,0.83,0.83,0.84,0.80,0.98,0.72,0.69
2282,Yakutat City and Borough, Alaska,649,11.09,3.70,5.24,2.00,2.47,4.78,0.46,2.62,0.59,0.23,0.03,0.08,0.00,0.05,0.12
2290,Yukon-Koyukuk Census Area, Alaska,5346,15.73,6.30,8.53,3.98,4.04,5.99,1.42,3.54,0.95,0.80,0.21,0.20,0.06,0.17,0.53
4001,Apache County, Arizona,70867,14.96,7.47,5.64,4.24,5.26,7.71,3.01,5.52,0.67,0.84,0.47,0.46,0.60,0.60,0.45
4003,Cochise County, Arizona,116349,17.33,7.75,5.85,2.54,5.75,9.75,3.30,5.63,0.71,0.44,0.57,0.71,0.68,0.63,0.66
4005,Coconino County, Arizona,140443,12.38,5.53,3.70,2.55,4.67,5.55,1.88,3.83,0.21,0.45,0.33,0.16,0.17,0.22,0.21
4007,Gila County, Arizona,52797,21.51,11.03,8.29,4.52,6.73,12.65,3.28,7.78,0.94,0.87,0.74,0.91,0.68,0.90,0.89
4009,Graham County, Arizona,34503,11.29,4.57,3.27,2.32,4.07,5.43,1.82,3.34,0.13,0.35,0.21,0.14,0.15,0.13,0.13
4011,Greenlee County, Arizona,9477,11.90,3.46,3.64,1.79,2.99,4.59,1.49,2.87,0.20,0.16,0.06,0.07,0.07,0.07,0.18
4012,La Paz County, Arizona,20651,25.95,11.21,9.92,3.99,6.30,16.21,2.98,5.52,0.98,0.80,0.68,0.99,0.59,0.60,0.97
4013,Maricopa County, Arizona,4297311,11.18,5.09,3.41,2.20,4.00,5.57,2.05,3.68,0.16,0.31,0.20,0.16,0.23,0.19,0.13
4015,Mohave County, Arizona,204435,22.60,11.13,7.09,4.03,7.51,12.72,4.18,7.69,0.87,0.81,0.84,0.92,0.87,0.89,0.92
4017,Navajo County, Arizona,106822,18.28,9.55,6.56,4.42,6.85,9.44,2.84,6.02,0.81,0.85,0.76,0.68,0.54,0.70,0.73
4019,Pima County, Arizona,1005471,15.27,7.20,4.68,2.74,5.98,7.65,2.59,5.22,0.45,0.51,0.62,0.45,0.44,0.54,0.48
4021,Pinal County, Arizona,406677,15.43,7.06,5.13,2.65,5.34,7.77,2.69,5.18,0.56,0.48,0.49,0.47,0.48,0.53,0.50
4023,Santa Cruz County, Arizona,46061,13.17,6.00,4.54,3.32,3.91,6.63,2.67,4.19,0.42,0.67,0.18,0.29,0.47,0.30,0.27
4025,Yavapai County, Arizona,226584,18.03,8.45,6.38,3.37,6.22,9.07,2.93,5.88,0.78,0.69,0.66,0.63,0.57,0.67,0.71
4027,Yuma County, Arizona,202580,11.96,4.92,3.87,2.04,3.71,6.46,1.84,3.29,0.25,0.24,0.15,0.27,0.16,0.13,0.18
5001,Arkansas County, Arkansas,17673,22.11,10.90,5.30,3.85,7.89,13.15,4.58,6.46,0.60,0.78,0.87,0.93,0.92,0.76,0.91
5003,Ashley County, Arkansas,20123,20.70,11.45,5.60,5.36,7.03,11.47,5.05,7.44,0.66,0.93,0.78,0.86,0.95,0.87,0.86
5005,Baxter County, Arkansas,41071,20.53,10.16,6.58,3.81,7.76,11.49,3.88,6.27,0.81,0.78,0.86,0.86,0.82,0.73,0.85
5007,Benton County, Arkansas,264163,10.13,4.76,2.78,1.67,3.49,5.51,1.94,3.54,0.06,0.12,0.12,0.15,0.19,0.17,0.07
5009,Boone County, Arkansas,36902,18.57,9.27,6.08,2.92,6.79,10.96,4.02,6.69,0.74,0.56,0.75,0.82,0.85,0.79,0.75
5011,Bradley County, Arkansas,10780,22.56,10.60,7.16,6.43,8.38,10.88,3.14,7.24,0.87,0.96,0.90,0.81,0.64,0.86,0.92
5013,Calhoun County, Arkansas,5147,22.03,13.21,8.04,5.96,7.50,14.47,6.61,9.21,0.93,0.95,0.84,0.97,0.99,0.97,0.90
5015,Carroll County, Arkansas,27746,15.11,6.94,4.80,2.10,4.13,9.15,1.82,5.09,0.48,0.27,0.22,0.64,0.15,0.51,0.46
5017,Chicot County, Arkansas,9939,25.54,13.34,5.86,7.20,10.12,13.86,5.12,8.46,0.71,0.98,0.97,0.95,0.95,0.94,0.97
5019,Clark County, Arkansas,22049,21.35,8.74,7.11,7.21,9.22,7.37,2.84,5.18,0.87,0.98,0.95,0.41,0.54,0.53,0.88
5021,Clay County, Arkansas,14771,22.85,11.53,6.97,5.23,8.36,13.59,4.79,7.09,0.86,0.92,0.90,0.94,0.93,0.84,0.93
5023,Cleburne County, Arkansas,24779,18.54,8.64,6.21,3.47,5.35,10.29,3.26,5.86,0.76,0.71,0.49,0.76,0.67,0.66,0.75
5025,Cleveland County, Arkansas,8034,20.38,10.51,7.38,3.68,6.66,11.36,3.55,6.10,0.89,0.75,0.73,0.85,0.75,0.71,0.84
5027,Columbia County, Arkansas,23354,19.06,9.93,4.59,4.37,6.98,10.29,4.41,7.01,0.43,0.85,0.77,0.76,0.90,0.84,0.77
5029,Conway County, Arkansas,20767,23.04,11.89,7.59,4.75,9.94,12.96,4.22,7.07,0.91,0.89,0.96,0.92,0.88,0.84,0.93
5031,Craighead County, Arkansas,106293,17.59,8.61,4.48,3.39,6.97,9.50,3.24,5.91,0.40,0.69,0.77,0.69,0.67,0.67,0.68
5033,Crawford County, Arkansas,62057,19.93,9.52,6.03,3.35,7.99,11.17,3.42,6.48,0.73,0.68,0.88,0.84,0.72,0.76,0.82
5035,Crittenden County, Arkansas,48179,16.85,8.11,3.58,3.25,6.20,9.20,3.36,5.94,0.19,0.66,0.66,0.65,0.70,0.68,0.62
5037,Cross County, Arkansas,16598,19.88,9.86,5.29,4.76,8.25,10.75,4.29,6.09,0.60,0.89,0.90,0.80,0.88,0.70,0.82
5039,Dallas County, Arkansas,6519,24.84,14.82,7.47,5.91,11.24,16.37,5.37,8.84,0.90,0.95,0.99,0.99,0.97,0.95,0.96
5041,Desha County, Arkansas,11644,19.37,8.94,5.23,4.36,6.15,10.18,3.93,6.54,0.59,0.85,0.65,0.75,0.83,0.77,0.79
5043,Drew County, Arkansas,18000,19.88,10.06,6.06,5.06,7.07,10.61,3.28,5.39,0.74,0.91,0.79,0.79,0.68,0.57,0.82
5045,Faulkner County, Arkansas,122146,14.29,7.06,4.35,3.28,5.46,7.27,2.65,4.46,0.37,0.67,0.52,0.39,0.46,0.37,0.39
5047,Franklin County, Arkansas,17449,22.77,12.17,8.17,3.67,8.72,11.71,5.59,8.41,0.94,0.75,0.92,0.87,0.97,0.94,0.92
5049,Fulton County, Arkansas,12062,23.49,11.52,7.58,4.52,5.87,13.25,4.01,7.78,0.91,0.87,0.60,0.93,0.85,0.90,0.94
5051,Garland County, Arkansas,97346,20.24,9.27,6.19,3.07,7.25,10.71,3.72,6.60,0.76,0.61,0.81,0.80,0.79,0.78,0.84
5053,Grant County, Arkansas,17949,19.24,9.87,6.14,3.22,6.72,10.30,3.29,7.01,0.75,0.65,0.74,0.76,0.68,0.84,0.79
5055,Greene County, Arkansas,44420,22.93,12.60,6.86,4.87,10.17,12.63,4.54,7.79,0.84,0.90,0.97,0.91,0.91,0.90,0.93
5057,Hempstead County, Arkansas,21590,16.99,7.95,4.65,3.14,6.05,10.07,3.33,5.70,0.45,0.63,0.63,0.74,0.70,0.64,0.63
5059,Hot Spring County, Arkansas,31424,23.80,12.73,7.73,8.26,11.01,12.28,5.07,8.19,0.91,0.99,0.99,0.90,0.95,0.93,0.95
5061,Howard County, Arkansas,13142,17.65,8.80,5.84,4.59,5.94,10.01,3.17,6.50,0.71,0.87,0.61,0.74,0.65,0.76,0.69
5063,Independence County, Arkansas,36939,20.12,9.20,6.17,3.87,6.66,11.41,2.82,6.46,0.75,0.79,0.73,0.85,0.53,0.76,0.83
5065,Izard County, Arkansas,12634,26.82,17.03,10.26,5.86,11.01,16.18,6.14,11.78,0.98,0.95,0.99,0.99,0.99,0.99,0.98
5067,Jackson County, Arkansas,14380,23.47,11.87,6.36,4.30,8.51,15.87,4.51,9.26,0.78,0.84,0.91,0.98,0.91,0.97,0.94
5069,Jefferson County, Arkansas,64532,17.99,8.40,4.41,3.72,5.87,10.77,4.06,6.38,0.38,0.76,0.60,0.81,0.85,0.75,0.71
5071,Johnson County, Arkansas,26188,20.20,10.99,5.89,4.27,7.64,12.17,4.78,6.71,0.71,0.84,0.85,0.89,0.93,0.79,0.84
5073,Lafayette County, Arkansas,6668,25.18,14.04,6.85,5.34,8.35,15.67,5.13,8.88,0.84,0.93,0.90,0.98,0.95,0.96,0.97
5075,Lawrence County, Arkansas,16250,23.39,10.81,6.90,5.05,7.89,13.89,4.00,6.28,0.85,0.91,0.87,0.96,0.84,0.73,0.94
5077,Lee County, Arkansas,7588,24.17,14.92,4.15,3.87,11.04,15.62,7.34,10.49,0.31,0.79,0.99,0.98,1.00,0.99,0.95
5079,Lincoln County, Arkansas,8363,21.09,10.16,7.40,5.06,6.39,10.34,4.10,7.83,0.90,0.91,0.69,0.77,0.86,0.91,0.87
5081,Little River County, Arkansas,12189,20.91,10.28,6.51,3.83,6.24,12.72,3.63,5.29,0.80,0.78,0.66,0.92,0.77,0.55,0.87
5083,Logan County, Arkansas,21420,22.04,11.28,6.36,4.80,8.20,12.40,4.27,7.40,0.78,0.89,0.90,0.90,0.88,0.87,0.90
5085,Lonoke County, Arkansas,71226,14.10,7.05,4.13,2.57,5.38,7.33,2.77,4.99,0.31,0.45,0.50,0.40,0.51,0.49,0.36
5087,Madison County, Arkansas,16133,18.14,10.12,6.86,4.07,6.66,9.91,3.43,6.89,0.84,0.81,0.73,0.73,0.72,0.82,0.72
5089,Marion County, Arkansas,16356,23.29,11.41,6.68,4.80,8.66,13.36,6.00,8.43,0.82,0.89,0.92,0.94,0.98,0.94,0.94
5091,Miller County, Arkansas,42276,18.75,9.05,4.44,3.73,7.20,10.71,3.44,6.69,0.39,0.76,0.80,0.80,0.73,0.79,0.76
5093,Mississippi County, Arkansas,41376,19.99,10.78,5.50,3.80,8.72,11.68,4.07,7.48,0.64,0.78,0.92,0.87,0.85,0.88,0.83
5095,Monroe County, Arkansas,6971,23.61,10.90,7.06,5.77,8.23,13.86,4.72,8.46,0.87,0.95,0.90,0.95,0.93,0.94,0.94
5097,Montgomery County, Arkansas,8815,25.85,14.10,9.17,4.90,8.24,14.85,4.32,9.97,0.97,0.90,0.90,0.97,0.89,0.98,0.97
5099,Nevada County, Arkansas,8193,20.92,10.91,5.31,4.75,7.88,12.57,2.99,6.84,0.60,0.89,0.87,0.91,0.59,0.81,0.87
5101,Newton County, Arkansas,7740,22.11,12.73,6.90,4.22,8.99,13.53,3.29,7.34,0.85,0.83,0.94,0.94,0.68,0.87,0.91
5103,Ouachita County, Arkansas,23484,19.93,9.87,4.78,4.31,7.37,11.44,3.81,6.52,0.48,0.84,0.82,0.86,0.81,0.77,0.82
5105,Perry County, Arkansas,10248,23.91,11.63,8.27,4.89,9.27,13.94,3.83,7.45,0.94,0.90,0.95,0.96,0.82,0.87,0.95
5107,Phillips County, Arkansas,18450,22.23,12.53,5.09,5.28,8.67,13.39,4.49,10.18,0.55,0.92,0.92,0.94,0.91,0.98,0.91
5109,Pike County, Arkansas,10598,26.88,13.93,11.06,9.11,10.97,12.41,4.52,8.70,0.99,0.99,0.99,0.91,0.91,0.95,0.98
5111,Poinsett County, Arkansas,23560,22.26,10.73,6.68,4.58,8.77,12.08,4.39,7.49,0.82,0.87,0.93,0.89,0.90,0.88,0.91
5113,Polk County, Arkansas,19971,23.35,11.35,7.18,5.19,7.06,13.82,4.24,8.88,0.88,0.92,0.78,0.95,0.88,0.96,0.94
5115,Pope County, Arkansas,63168,17.69,8.48,5.07,3.20,6.53,9.26,3.39,5.54,0.55,0.65,0.71,0.66,0.71,0.61,0.69
5117,Prairie County, Arkansas,8052,21.21,8.53,6.42,2.45,5.92,12.54,3.35,7.02,0.79,0.40,0.61,0.91,0.70,0.84,0.88
5119,Pulaski County, Arkansas,386447,15.75,7.68,3.56,3.00,6.72,8.31,3.20,5.67,0.18,0.59,0.74,0.54,0.65,0.64,0.53
5121,Randolph County, Arkansas,17391,22.20,10.52,6.82,4.27,8.65,12.09,3.70,6.95,0.84,0.84,0.92,0.89,0.79,0.83,0.91
5123,St. Francis County, Arkansas,22635,18.46,10.10,3.70,3.78,5.97,11.01,3.47,8.42,0.21,0.77,0.62,0.83,0.73,0.94,0.74
